subsample	source	dest	count
1	CT	PRD	4.376
1	CT	SW	2.586
1	CT	YRD	4.022
1	PRD	CT	0.314
1	PRD	SW	1.392
1	PRD	YRD	0.199
1	SW	CT	0.902
1	SW	PRD	9.31E-02
1	SW	YRD	0.535
1	YRD	CT	3.39
1	YRD	PRD	2.136
1	YRD	SW	2.109
2	CT	PRD	3.516
2	CT	SW	3.729
2	CT	YRD	3.206
2	PRD	CT	0.596
2	PRD	SW	1.605
2	PRD	YRD	0.283
2	SW	CT	0.158
2	SW	PRD	0.191
2	SW	YRD	1.095
2	YRD	CT	2.904
2	YRD	PRD	3.305
2	YRD	SW	0.982
3	CT	PRD	4.852
3	CT	SW	3.765
3	CT	YRD	0.457
3	PRD	CT	0.686
3	PRD	SW	0.96
3	PRD	YRD	0.148
3	SW	CT	0.753
3	SW	PRD	0.303
3	SW	YRD	3.562
3	YRD	CT	4.498
3	YRD	PRD	0.751
3	YRD	SW	0.484
4	CT	PRD	3.777
4	CT	SW	5.028
4	CT	YRD	1.957
4	PRD	CT	0.994
4	PRD	SW	0.852
4	PRD	YRD	1.524
4	SW	CT	0.374
4	SW	PRD	0.265
4	SW	YRD	1.45
4	YRD	CT	3.594
4	YRD	PRD	2.945
4	YRD	SW	0.898
5	CT	PRD	2.918
5	CT	SW	3.926
5	CT	YRD	2.872
5	PRD	CT	0.291
5	PRD	SW	0.48
5	PRD	YRD	0.263
5	SW	CT	1.04
5	SW	PRD	0.884
5	SW	YRD	0.711
5	YRD	CT	4.118
5	YRD	PRD	4.072
5	YRD	SW	3.266
6	CT	PRD	1.339
6	CT	SW	1.512
6	CT	YRD	1.059
6	PRD	CT	1.116
6	PRD	SW	0.398
6	PRD	YRD	0.374
6	SW	CT	0.504
6	SW	PRD	1.484
6	SW	YRD	2.306
6	YRD	CT	5.088
6	YRD	PRD	4.33
6	YRD	SW	2.57
7	CT	PRD	5.005
7	CT	SW	1.91
7	CT	YRD	0.923
7	PRD	CT	1.718
7	PRD	SW	2.33
7	PRD	YRD	3.546
7	SW	CT	0.279
7	SW	PRD	0.162
7	SW	YRD	1.784
7	YRD	CT	3.004
7	YRD	PRD	1.14
7	YRD	SW	1.194
8	CT	PRD	1.859
8	CT	SW	2.335
8	CT	YRD	1.77
8	PRD	CT	1.472
8	PRD	SW	1.638
8	PRD	YRD	3.106
8	SW	CT	0.253
8	SW	PRD	0.422
8	SW	YRD	0.12
8	YRD	CT	4.589
8	YRD	PRD	3.345
8	YRD	SW	2.535
9	CT	PRD	4.089
9	CT	SW	5.982
9	CT	YRD	4.24
9	PRD	CT	0.27
9	PRD	SW	0.881
9	PRD	YRD	0.369
9	SW	CT	0.615
9	SW	PRD	0.215
9	SW	YRD	0.409
9	YRD	CT	2.526
9	YRD	PRD	2.823
9	YRD	SW	1.449
10	CT	PRD	1.377
10	CT	SW	1.657
10	CT	YRD	1.541
10	PRD	CT	0.677
10	PRD	SW	0.294
10	PRD	YRD	0.201
10	SW	CT	1.894
10	SW	PRD	1.163
10	SW	YRD	1.544
10	YRD	CT	4.28
10	YRD	PRD	3.281
10	YRD	SW	3.742
11	CT	PRD	1.416
11	PRD	CT	0.51
11	CT	SW	1.873
11	SW	CT	0.659
11	CT	YRD	0.843
11	YRD	CT	4.974
11	PRD	SW	2.591
11	SW	PRD	0.304
11	PRD	YRD	0.483
11	YRD	PRD	5.839
11	SW	YRD	1.504
11	YRD	SW	2.427
12	CT	PRD	3.255
12	PRD	CT	0.501
12	CT	SW	4.016
12	SW	CT	2.32
12	CT	YRD	3.481
12	YRD	CT	0.739
12	PRD	SW	1.783
12	SW	PRD	1.402
12	PRD	YRD	0.433
12	YRD	PRD	2.94
12	SW	YRD	1.374
12	YRD	SW	0.595
13	CT	PRD	1.979
13	PRD	CT	0.85
13	CT	SW	2.368
13	SW	CT	4.379
13	CT	YRD	1.528
13	YRD	CT	1.075
13	PRD	SW	1.422
13	SW	PRD	3.165
13	PRD	YRD	0.727
