"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FOSB","-3.53062962962963","7.46625","-10.2378161384676","1.71642379065552e-12","1.07975473406318e-8","18.2105366553974"
"TCIM","1.60722222222222","9.58975","10.2172379104813","1.81654564950064e-12","1.07975473406318e-8","18.1572309937308"
"TFF1","-0.834851851851851","5.22463888888889","-9.80345579999801","5.74658542556555e-12","2.27718025130411e-8","17.0722783181667"
"ORM1","-0.680666666666667","4.46072222222222","-9.67815040125998","8.18040587494368e-12","2.43121662603326e-8","16.7388247755146"
"ARC","-1.20522222222222","5.72986111111111","-9.50921362270513","1.32108592340294e-11","3.07106109312582e-8","16.2856888779097"
"SIK1","-2.55129629629629","7.54341666666667","-9.45317435079992","1.54999718697468e-11","3.07106109312582e-8","16.1344744335227"
"AHSG","-0.703592592592592","5.51086111111111","-9.39830481394997","1.81322101550308e-11","3.07936734747152e-8","15.985983481948"
"NR4A2","-1.87407407407407","5.56466666666667","-9.30229962472488","2.38803031651436e-11","3.54861305034034e-8","15.7251429658044"
"AVPI1","-1.10814814814815","8.96222222222222","-9.07308320751986","4.63026661172181e-11","6.11606772001654e-8","15.0971412677656"
"NR4A1","-1.51766666666667","8.37875","-8.8188828155307","9.72377619273197e-11","1.15596251379198e-7","14.3921984254635"
"APOA2","-0.473962962962962","4.42130555555556","-8.57833384806563","1.97652402500381e-10","2.13608341902229e-7","13.7170921983549"
"MS4A3","-0.652444444444444","4.50411111111111","-8.50638422102281","2.44696586010769e-10","2.42412751208002e-7","13.513683932615"
"PTPRZ1","-0.67388888888889","4.25480555555556","-8.43353673022287","3.03933674559719e-10","2.7793565562815e-7","13.3070558677722"
"NEDD9","-0.866296296296295","9.57294444444444","-8.37033049384961","3.67016189735392e-10","3.11649175969596e-7","13.1272253189257"
"CYP27B1","-2.48714814814815","8.02675","-8.15596453503628","6.98137601906375e-10","5.53297320764199e-7","12.5136007826859"
"MSH5","-0.837925925925925","6.05188888888889","-7.94694967546181","1.31323726294414e-9","9.75735286367497e-7","11.9099343395933"
"GYG2","-0.787148148148147","6.34441666666667","-7.88104126035784","1.60431161561857e-9","0.00000112188567567492","11.7185239261525"
"MYB","-0.637740740740741","4.97047222222222","-7.80520141236624","2.02104982907124e-9","0.00000133479113155549","11.4976626031604"
"SUPT16H","-1.26348148148148","9.98794444444444","-7.77881538046852","2.19042687117528e-9","0.00000137051550760693","11.4206708471241"
"SCUBE2","-0.586777777777777","5.55580555555556","-7.74433285226873","2.43361118290829e-9","0.00000144653848712069","11.319939065822"
"MYH9","-0.860962962962962","10.7851666666667","-7.72727754273225","2.56380441313753e-9","0.00000145135746968471","11.2700685058273"
"BBS1","-0.876777777777778","9.37186111111111","-7.69069868375922","2.86727915485594e-9","0.00000154248458846559","11.163004244618"
"IGF2BP3","-0.516","4.28722222222222","-7.6776316156431","2.98428209410402e-9","0.00000154248458846559","11.1247229118544"
"SERPINA7","-0.680259259259259","5.13525","-7.64362024125321","3.31195670083293e-9","0.00000159292499125472","11.0249980608413"
"ATF3","-2.40125925925926","8.77194444444445","-7.63990754348201","3.34985908322409e-9","0.00000159292499125472","11.0141046568167"
"ZIC1","-0.666074074074073","4.75577777777778","-7.623188525245","3.52604611836902e-9","0.00000161221677904503","10.96503157132"
"BCAS3","-0.67985185185185","8.45777777777778","-7.59771169683701","3.8127020834421e-9","0.00000167871860622073","10.8901967879652"
"PEG10","-0.928370370370369","6.22527777777778","-7.57508957216368","4.08692505655893e-9","0.00000173519160972759","10.8236909977603"
"ZNF331","-1.17348148148148","7.17511111111111","-7.53925752873115","4.56264959208777e-9","0.00000187037166726687","10.7182426528396"
"SEMA3C","-1.03385185185185","6.98183333333333","-7.50422881445974","5.08177786900469e-9","0.00000201373917689092","10.6150327315049"
"CDH5","1.33174074074074","9.06569444444444","7.48362703852308","5.41455409439959e-9","0.00000207639416368459","10.5542735544389"
"MAGEC1","-0.859259259259258","4.78855555555556","-7.41618906894534","6.66579893157875e-9","0.0000024763443030815","10.3550920483311"
"SLC6A14","-0.593074074074073","4.17952777777778","-7.37668216073314","7.53057206685193e-9","0.00000271283153729502","10.2382022383852"
"DPPA4","-0.511370370370371","4.03925","-7.34155928841276","8.39411368492538e-9","0.0000029349771613645","10.1341595482205"
"PELI2","-0.802851851851851","8.94763888888889","-7.32818726861906","8.74856492181791e-9","0.0000029715125654449","10.0945180314058"
"CPS1","-0.522370370370369","5.37011111111111","-7.31018305744815","9.24978148981251e-9","0.00000305448339863587","10.0411182371811"
"CSTF3","-0.788851851851852","9.26625","-7.29005503930257","9.84451466231209e-9","0.00000316301595420449","9.98138416094616"
"ZNF318","-0.522111111111111","7.05619444444444","-7.2625553374995","1.07199441891341e-8","0.00000326644184704351","9.89971374292315"
"FGL1","-0.726962962962962","6.59555555555556","-7.26121147907456","1.07646833315544e-8","0.00000326644184704351","9.89572092235926"
"NTS","-0.76937037037037","4.80097222222222","-7.25450687951684","1.09907195391773e-8","0.00000326644184704351","9.87579806358794"
"SIK3","-0.733333333333331","7.73411111111111","-7.23685942069275","1.16088328948791e-8","0.00000332347526077333","9.82333916060114"
"CASP9","-0.752962962962963","8.73516666666667","-7.23318845048347","1.17417531083849e-8","0.00000332347526077333","9.8124233581324"
"ZDHHC4","-1.16677777777778","8.67969444444445","-7.16199233364926","1.46460238963727e-8","0.00000401439765429578","9.60048641047455"
"DOCK1","-0.78185185185185","9.25138888888889","-7.15736509655779","1.48581339829252e-8","0.00000401439765429578","9.58669698385124"
"RLF","-0.763407407407406","7.83655555555556","-7.14601882040765","1.53914432973513e-8","0.00000406607728708694","9.55287679939784"
"SAA4","-0.553555555555555","5.76027777777778","-7.11096778048277","1.71639931844107e-8","0.0000044357728473103","9.44833121264794"
"SOX17","1.08448148148148","6.72158333333333","7.07710712899194","1.90716585178625e-8","0.00000482391226511382","9.34724028992277"
"MAGEB2","-0.744185185185185","4.70419444444444","-7.04819872542431","2.08686415897515e-8","0.00000516846690039512","9.26086124718527"
"EYA1","-0.60922222222222","5.30597222222222","-7.03971690066739","2.14275757876844e-8","0.00000519859226457126","9.23550476703099"
"HBA2","3.40096296296296","12.1000555555556","7.03306618109571","2.18763762137414e-8","0.00000520132720857916","9.21561843848237"
"NR4A3","-1.09725925925926","5.57983333333333","-7.01635484435742","2.30463345622428e-8","0.00000537205539756749","9.16563462124048"
"ARID5B","-1.82048148148148","9.73008333333333","-6.99030226479909","2.49973223226018e-8","0.00000562068960735843","9.08766808560944"
"IQCH","-0.658999999999999","4.97252777777778","-6.9895176536156","2.50585926303833e-8","0.00000562068960735843","9.08531920692833"
"PDE4B","-1.13807407407407","8.17233333333333","-6.97467848339654","2.62462967931221e-8","0.00000577807363475252","9.04088664653984"
"TF","-0.567444444444444","5.44397222222222","-6.87712779914693","3.55993417022012e-8","0.00000769463589374124","8.74839014408527"
"KLRC3","-0.425222222222222","4.27719444444444","-6.84346691898168","3.95533253523091e-8","0.00000839660592479019","8.64730489408397"
"HNRNPDL","-0.556851851851852","10.5654722222222","-6.80568236168098","4.45210189203265e-8","0.00000928536619166389","8.53374488934118"
