"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group"
"SPARCL1",997.28801216547,4.60160067265598,0.211980881720658,21.7076211557599,1.73824466156669e-104,3.04975025871876e-100,"Up"
"STOM",11193.7514278053,1.45060756099281,0.085736718248938,16.9193268720753,3.24113584400069e-64,2.8432864191496e-60,"Up"
"PER1",776.503792967288,3.18300050833075,0.201608112574418,15.7880576713193,3.75979772692308e-56,2.19885503729551e-52,"Up"
"PHC2",2738.05953437069,1.38632629654209,0.0927354913478806,14.9492527229034,1.57506700212213e-50,6.90863763805818e-47,"Up"
"MT2A",3656.04242276753,2.20262820728691,0.147859821622757,14.8967324802177,3.46095826558211e-50,1.21445025539276e-46,"Up"
"DUSP1",3408.81754725796,2.94810437384674,0.202076769034974,14.5890316236029,3.29846380492542e-48,9.6452579095694e-45,"Up"
"ZBTB16",385.005948498979,7.17550489330288,0.494823280114351,14.5011465338588,1.19143047538108e-47,2.98623538436586e-44,"Up"
"MAOA",2341.5858602366,3.30435661149556,0.228369525909426,14.4693412938385,1.8927609395595e-47,4.15106133557143e-44,"Up"
"KCTD12",2650.74522155705,-2.50078094105987,0.179298030468862,-13.9476208105597,3.25276261076421e-44,6.3410800006509e-41,"Down"
"SAMHD1",12702.3743695264,3.85691532343455,0.279519180871893,13.7983923371692,2.60599623290801e-43,4.5722203906371e-40,"Up"
"NEXN",5393.00717239633,2.02906750237822,0.152445433977928,13.3101231662472,2.02148222631e-40,3.22426415096445e-37,"Up"
"SLC6A9",229.719567042777,-2.21783992633371,0.167033240553866,-13.2778357109014,3.11261053833867e-40,4.55089599126266e-37,"Down"
"FKBP5",2564.08933008089,3.93750740329611,0.296935391483628,13.2604853319184,3.92348332819653e-40,5.29519346101601e-37,"Up"
"DNAJB4",1467.67783375129,1.52012876626475,0.124335566641005,12.2260171190905,2.25738392003354e-34,2.82898577692774e-31,"Up"
"ARHGEF2",2251.13994940337,-1.01539523098312,0.083325262330195,-12.1859230032711,3.69446693030966e-34,4.32129481948553e-31,"Stable"
"NNMT",7432.59107684844,2.16129587935896,0.178060362190877,12.1379955244733,6.64335778914899e-34,7.28485702566369e-31,"Up"
"ABAT",498.707518901201,1.1571959448974,0.0979055411337949,11.8195143144759,3.09468470852397e-32,3.19389665947371e-29,"Stable"
"FAM171B",1303.6192817131,-1.35115435395299,0.116777605486889,-11.570320767578,5.82644327130972e-31,5.67916373306273e-28,"Stable"
"CCDC69",2056.99283230794,2.89396812362917,0.250811975417317,11.5383969159128,8.44850401388653e-31,7.80152646966522e-28,"Up"
"GASK1B",5596.59817985409,1.12367834608409,0.0991000010766406,11.3388328342709,8.42607334878042e-30,7.39177284521762e-27,"Stable"
"COL1A1",101017.991837811,-1.30033275776479,0.116117981419836,-11.1983754958959,4.15278646599357e-29,3.46955421646939e-26,"Stable"
"GLUL",19608.8796587381,3.00325808490425,0.268858283072338,11.1704130911831,5.69155655851072e-29,4.5390163554123e-26,"Up"
"KLF15",561.003964227037,4.5813014753361,0.411325587607876,11.1378956557974,8.20348003173902e-29,6.25782857203744e-26,"Up"
"VCAM1",508.379928489876,-3.61016004001368,0.325924532441306,-11.0766747534226,1.62807322883108e-28,1.19018936666006e-25,"Down"
"STEAP1",1920.74132635076,1.55590674302799,0.14174310591586,10.9769482824201,4.93307887670641e-28,3.46203475567256e-25,"Up"
"FGD4",1223.43441602664,2.25309127440527,0.205922961575121,10.9414280815077,7.30402204115615e-28,4.9288102581571e-25,"Up"
"JADE1",1570.68849396068,1.20602247608751,0.110519494694,10.9123053758677,1.00670472489641e-27,6.54171644381759e-25,"Stable"
"ARMC8",1010.30112740128,1.35600379054915,0.126207551093952,10.744236607045,6.30815963892329e-27,3.95273788803247e-24,"Stable"
"CACNB2",495.060592507377,3.29962906137279,0.308053117869233,10.7112341020793,9.01519251549347e-27,5.45419147187355e-24,"Up"
"RAP2B",631.038633386058,-1.27333026320878,0.118970172388715,-10.7029370273449,9.86024139471149e-27,5.76659784234044e-24,"Stable"
"TSLP",152.426155697606,-2.78747964277647,0.260987763077507,-10.6804993839832,1.25594202897861e-26,7.10822674142895e-24,"Down"
"MORF4L2",5040.74311760577,1.02746815357074,0.0968379233680596,10.6101836742777,2.67223243276912e-26,1.42073691008892e-23,"Stable"
"ERRFI1",3232.63865588752,2.43902181501385,0.229821518939239,10.6126781611721,2.60182491853177e-26,1.42073691008892e-23,"Up"
"NEK10",160.283670602728,-2.47347799072946,0.236324123270618,-10.4664642631385,1.23157472695933e-25,6.355287818971e-23,"Down"
"PNPLA2",1701.28528142884,1.10411877656018,0.105751528186749,10.4406886169096,1.61633919984453e-25,8.10247750322064e-23,"Stable"
"TMEM119",2988.45207401626,-1.1699810258297,0.113043545068278,-10.3498260349411,4.19246900659277e-25,2.04324635335195e-22,"Stable"
"CRISPLD2",3081.80563818296,2.69963662782071,0.261082749610943,10.3401570262441,4.63776972672721e-25,2.19918026636294e-22,"Up"
"TIMP4",167.602721175616,2.93178091753347,0.286432492860534,10.2355039690311,1.37477525954181e-24,6.18472613555413e-22,"Up"
"KLF9",1683.19269808759,2.10927165938141,0.206055943730652,10.2364028971596,1.36206599985139e-24,6.18472613555413e-22,"Up"
"IRS2",1974.87798602893,2.16207963967062,0.212019995611761,10.1975270465984,2.03385145386125e-24,8.92098093949889e-22,"Up"
"APBB2",2266.37837463217,1.07981586506263,0.1065195014859,10.1372598444386,3.77541245786802e-24,1.61560028227548e-21,"Stable"
"TENT5B",70.3004341504995,2.33363426264004,0.23075913495945,10.1128575605473,4.84501046983058e-24,2.02394544507566e-21,"Up"
"IMPA2",627.534203749361,2.3547484011734,0.233297399890826,10.0933332402133,5.91269570109061e-24,2.41251735059616e-21,"Up"
"PHLDA1",1976.32279109359,-0.992012079256714,0.0990865852136905,-10.0115679344216,1.35586389431967e-23,5.40650727859968e-21,"Stable"
"MFAP4",26354.4991907331,-0.964766067813324,0.0967910574419997,-9.96751242635657,2.1145858760599e-23,8.24453537677131e-21,"Stable"
"GPX3",12285.0150576235,3.74186535828325,0.376716472629642,9.93284241637599,2.99591300981737e-23,1.14268029907056e-20,"Up"
"TCEAL4",3056.08412710652,1.54702078015878,0.156931352913355,9.85794585619179,6.33317462143409e-23,2.36416061134173e-20,"Up"
"GXYLT2",756.597012798272,-1.57030007694378,0.16023546883824,-9.7999530836024,1.12637951267989e-22,4.11715178124347e-20,"Down"
"CDIPT",3320.06249095691,0.821711657332407,0.0844951823027445,9.72495277172409,2.36014895648545e-22,8.45077825337493e-20,"Stable"
"TMEM200A",817.000092910686,-1.21453013691391,0.126111348284969,-9.63061733484508,5.93717050593834e-22,2.08335313053376e-19,"Stable"
"SLC6A6",740.677738868744,-2.12050895010246,0.222752818680062,-9.51956057242143,1.73912890345827e-21,5.98294443356378e-19,"Down"
"ANXA6",14121.6869041917,0.920861608848502,0.0973403635480089,9.46022364498697,3.07285266676575e-21,1.03679230843087e-18,"Stable"
"AC079467.1",56.3092566882438,6.29938987456974,0.666345700616458,9.45363625628856,3.27259944609748e-21,1.08335391097699e-18,"Up"
"MPP3",166.344809965396,1.56746699031316,0.165878738750626,9.44947497261609,3.40534460173868e-21,1.10642168587973e-18,"Up"
"TSC22D3",2205.4418256598,3.337604994334,0.354873177601379,9.4050641327507,5.19984853755032e-21,1.65875168347855e-18,"Up"
"PRKAA1",2384.01105503434,0.864793061344667,0.0919744924069702,9.40253149229807,5.32658055185028e-21,1.66883671039666e-18,"Stable"
"HIGD1A",2420.95137773757,1.20940080620916,0.128729448066869,9.39490399726511,5.72700262192251e-21,1.76281159651983e-18,"Stable"
"SOX4",1281.87702918769,-2.35830262957841,0.253101054330084,-9.31763257889401,1.18965031910444e-20,3.59869221529094e-18,"Down"
"TRIM45",136.966194682301,-1.96858845179229,0.211418366252641,-9.3113407632706,1.26228704558348e-20,3.75369935843426e-18,"Down"
"HPS5",995.289953316533,1.59028870242183,0.171439816068626,9.27607564502547,1.75835771838143e-20,5.14173102816705e-18,"Up"
"CEBPD",1963.54610799024,1.49840690384754,0.161774084435884,9.26234204367511,1.99996339280003e-20,5.75235372568469e-18,"Up"
"WASF3",1322.88580014857,1.10171410441043,0.119054925202497,9.25383055372602,2.1658828137205e-20,6.12909902689132e-18,"Stable"
"PDLIM5",1314.21478781225,1.58613936082499,0.171676182246373,9.23913463166789,2.48498795051953e-20,6.92049422093097e-18,"Up"
"CREB3L1",2783.18709501384,-0.980129873879581,0.107889755914642,-9.08454992385951,1.04128598449343e-19,2.8545879059277e-17,"Stable"
"C14orf132",4616.91863964222,-1.1460136263397,0.126424345069614,-9.06481758484618,1.24812919467284e-19,3.36898872623614e-17,"Stable"
"DCXR",627.452997860301,2.14900572997592,0.237210509322973,9.05948786210796,1.31064470263523e-19,3.48413050117199e-17,"Up"
"RBPMS",2970.63890012634,0.892865831421346,0.0987505299604606,9.04163078191932,1.54351654451293e-19,4.04193996619094e-17,"Stable"
"TBX18",2755.80629880827,-1.804248662055,0.199708428883481,-9.03441418142486,1.64883190693483e-19,4.2542287951723e-17,"Down"
"ANXA4",4908.89184122283,1.19244512472991,0.132078904297366,9.02827844517251,1.74393616588108e-19,4.43440000440342e-17,"Stable"
"CREB5",669.60942336845,-1.9958473693451,0.221466040971125,-9.01197926595583,2.0237060071423e-19,5.0722745564731e-17,"Down"
"ACSL1",1460.20520702516,1.60336437146235,0.178084432178179,9.00339435542648,2.18844571959628e-19,5.40792678173476e-17,"Up"
"STEAP2",3009.22226134642,1.98688639093435,0.220989813742299,8.99085056133539,2.45324425361337e-19,5.97807922633979e-17,"Up"
"ADAMTS1",30314.6927415519,2.2944611709942,0.255477851074159,8.98105711061493,2.68177592027349e-19,6.4454463727669e-17,"Up"
"MARCHF10",47.3493886198041,3.88415238778532,0.433230190174796,8.96556259437546,3.08700886020042e-19,7.3191311421914e-17,"Up"
"METTL7A",3885.49405207562,2.32493106878172,0.259375182592109,8.96358335268291,3.14294819840419e-19,7.35240348546687e-17,"Up"
"LRRTM2",46.8249910934546,-4.12347928893181,0.460832523309557,-8.94789121939193,3.62337855675313e-19,8.36476010239916e-17,"Down"
"FZD8",115.084821220802,2.46888463758084,0.276343230696724,8.93412381174029,4.10417554285032e-19,9.35165712978038e-17,"Up"
"ZHX3",3235.00946197386,1.14074851060057,0.128490525253396,8.87807492693256,6.80274110297882e-19,1.53018067502261e-16,"Stable"
"ALOX15B",67.2355298466997,9.60891424394599,1.08766610629073,8.83443382888457,1.00606492944022e-18,2.23435559329477e-16,"Up"
"TST",316.417476454624,1.30396859679623,0.147629656354638,8.83270088811842,1.02177989771913e-18,2.24089103818527e-16,"Stable"
"RAD1",944.96752737343,0.829310442061796,0.0944619078341972,8.7793107409754,1.64479514456646e-18,3.56270750758255e-16,"Stable"
"QPRT",865.429752613464,-1.2117258503576,0.138286852950611,-8.76240817187708,1.91122788217813e-18,4.0893284381482e-16,"Stable"
"TRPC6",655.46427230025,1.9579641745107,0.224116055890483,8.7363851140923,2.40688447696866e-18,5.08780580101388e-16,"Up"
"LINC00968",2162.55242024491,2.06259751522435,0.236203791521642,8.73227945214999,2.49590615970979e-18,5.21317542525098e-16,"Up"
"DNM1",884.985550833552,-1.75605543592113,0.203258347461431,-8.63952431894265,5.64475489157917e-18,1.16514381850302e-15,"Down"
"FOXO3",5165.70416123346,1.27093511263902,0.147157412103207,8.63656879034856,5.79265254308332e-18,1.18176847521392e-15,"Stable"
"TENT5A",516.932280406253,-1.19172958998945,0.138409533069173,-8.61016986014869,7.29523995265425e-18,1.47120672378527e-15,"Stable"
"MT1E",554.157808472286,2.17503606018778,0.252910055895393,8.60003787705226,7.96897944231977e-18,1.5888152763125e-15,"Up"
"FOXO1",678.831707214064,2.28784131316278,0.267038122922798,8.56747077204481,1.05782698896432e-17,2.08534545184033e-15,"Up"
"AP1M1",2129.48333551214,1.08763667785579,0.127355038044301,8.5401935766173,1.33997169396038e-17,2.61220037450387e-15,"Stable"
"CRABP2",1492.59820557684,-1.67158101976004,0.196012145804529,-8.52794612751707,1.48968881934005e-17,2.87215278410123e-15,"Down"
"SELENOS",806.959706390869,0.685208030969467,0.0805762584380253,8.50384523000022,1.83412024245701e-17,3.49778691890307e-15,"Stable"
"RPS6KA5",87.353029445781,-2.4546182835096,0.290296848270949,-8.45554575645472,2.7778500299498e-17,5.24057836295368e-15,"Down"
"MINDY2",1415.76767693625,1.03444730654666,0.12314514171732,8.40022831693383,4.45611373164239e-17,8.3172888746453e-15,"Stable"
"MT1X",37.3791208801369,3.17163168324278,0.378332932226438,8.38317633249149,5.15182085261678e-17,9.51459966938541e-15,"Up"
"TP53BP1",1878.80624248936,-0.759138592028854,0.0908862237559344,-8.35262552075486,6.67620564620642e-17,1.22014612565304e-14,"Stable"
"TGFBR2",13217.1858167322,1.45412791679725,0.174244793307079,8.34531631734084,7.10235281560409e-17,1.2846472180389e-14,"Up"
"SORT1",5511.12403755314,2.22320516942354,0.267798867493944,8.301772110645,1.02569810732039e-16,1.83631360132002e-14,"Up"
"TLDC2",42.8979669051818,4.18597593562116,0.505132595638393,8.2868854074461,1.16252542850582e-16,2.06025339829643e-14,"Up"
"CORO6",1996.19153586538,2.36369383765665,0.285641792951881,8.2750280105364,1.28425425584508e-16,2.25322409188019e-14,"Up"
"ARPC5",2581.45589909777,0.88706275896654,0.107338715262547,8.26414548373172,1.40698938414526e-16,2.44412165790381e-14,"Stable"
"SLC45A1",168.600437538603,1.29431393901903,0.157131903032636,8.23711744107245,1.76409300039441e-16,3.03441291097254e-14,"Stable"
"KLHL42",907.712241688982,1.0576142633399,0.128875802259322,8.20646114164846,2.27803228238117e-16,3.88039576644442e-14,"Stable"
"SYN2",49.9394501549564,3.55825747973665,0.434187688052625,8.19520584679817,2.50164676142714e-16,4.22032619511915e-14,"Up"
"SLC7A6",780.774202143374,1.42422571297792,0.173924314194657,8.18876716330714,2.63915543129866e-16,4.40990305163191e-14,"Up"
"DBP",84.5987609010891,-1.65609888393219,0.203093967551784,-8.15434797938998,3.51068699198449e-16,5.8108493655064e-14,"Down"
"GADD45B",368.159464411555,1.45496730263044,0.17855780447964,8.14843857915121,3.68653209411301e-16,6.04487902721614e-14,"Up"
"TRNP1",1040.17494871772,1.96657233627802,0.241598848915946,8.13982494164204,3.95849827397155e-16,6.43072705711397e-14,"Up"
"LINC00702",77.6285671627049,3.47345317956622,0.427207075041478,8.13060780706634,4.27143228217831e-16,6.87543847622187e-14,"Up"
"LHFPL2",2018.63094567154,-1.24428969709737,0.153145542508863,-8.12488353701419,4.47792169579244e-16,7.14228510478894e-14,"Stable"
"SAMD4A",3105.08108693912,1.20627953055842,0.148535174191298,8.12117087502014,4.61707428566576e-16,7.29788903982033e-14,"Stable"
"HERPUD1",2272.61375967867,0.74708503770856,0.092183294092383,8.10434303811986,5.30312841937221e-16,8.30744536766834e-14,"Stable"
"BNC2",2794.01599038937,-0.875718204577935,0.108701480610755,-8.05617549694433,7.87185926261952e-16,1.22222805984654e-13,"Stable"
"ZRANB1",2078.51228009632,0.919713787221606,0.114258630442715,8.04940321495204,8.3198721697567e-16,1.28045751945948e-13,"Stable"
"TUBA4A",228.781620578085,-1.54003358351344,0.191438368815466,-8.04453983306727,8.65700994245407e-16,1.32075860382919e-13,"Down"
