"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","BP","GO:0030198","extracellular matrix organization","19/238","321/18870",2.76425563033907e-08,3.23342866823677e-05,2.74709169422256e-05,"CRISPLD2/ADAMTS1/LAMA2/PTX3/NID1/CCN1/ADAMTS5/COL4A4/COL4A3/RGCC/ANGPTL7/MMP7/COL11A1/GPM6B/SPINT2/COL28A1/PDPN/COMP/SERPINF2",19
"GO:0043062","BP","GO:0043062","extracellular structure organization","19/238","322/18870",2.90500311723416e-08,3.23342866823677e-05,2.74709169422256e-05,"CRISPLD2/ADAMTS1/LAMA2/PTX3/NID1/CCN1/ADAMTS5/COL4A4/COL4A3/RGCC/ANGPTL7/MMP7/COL11A1/GPM6B/SPINT2/COL28A1/PDPN/COMP/SERPINF2",19
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","19/238","323/18870",3.05232410469173e-08,3.23342866823677e-05,2.74709169422256e-05,"CRISPLD2/ADAMTS1/LAMA2/PTX3/NID1/CCN1/ADAMTS5/COL4A4/COL4A3/RGCC/ANGPTL7/MMP7/COL11A1/GPM6B/SPINT2/COL28A1/PDPN/COMP/SERPINF2",19
"GO:0060415","BP","GO:0060415","muscle tissue morphogenesis","8/238","74/18870",4.18983269275558e-06,0.00308730946991778,0.00262295014750724,"ADARB1/COL11A1/DLL4/ANKRD1/NOG/TNNT2/PKP2/CHD7",8
"GO:0003206","BP","GO:0003206","cardiac chamber morphogenesis","10/238","127/18870",4.85731508797637e-06,0.00308730946991778,0.00262295014750724,"ADAMTS1/TGFBR2/CITED2/CCN1/COL11A1/DLL4/NOG/TNNT2/PKP2/CHD7",10
"GO:0048644","BP","GO:0048644","muscle organ morphogenesis","8/238","81/18870",8.28916681780807e-06,0.00439049535783234,0.00373012506801363,"ADARB1/COL11A1/DLL4/ANKRD1/NOG/TNNT2/PKP2/CHD7",8
"GO:0055008","BP","GO:0055008","cardiac muscle tissue morphogenesis","7/238","61/18870",1.13613930931318e-05,0.00515807246428183,0.00438225162163655,"COL11A1/DLL4/ANKRD1/NOG/TNNT2/PKP2/CHD7",7
"GO:0003012","BP","GO:0003012","muscle system process","18/238","452/18870",1.85148585850678e-05,0.00735502757291819,0.00624876477246039,"KLF15/CACNB2/PDLIM5/FOXO1/ADRA1B/LMCD1/ATP2A2/NR4A3/GDNF/LEP/SCN7A/STC1/KCND3/MYH13/COMP/MYOZ2/TNNT2/PKP2",18
"GO:0055010","BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis","6/238","47/18870",2.6332170491998e-05,0.00768151473822699,0.00652614530938102,"COL11A1/DLL4/NOG/TNNT2/PKP2/CHD7",6
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","16/238","379/18870",2.70267839508378e-05,0.00768151473822699,0.00652614530938102,"MYADM/SYNPO2/ATP2A2/RAC3/DAAM2/NEDD9/PIK3R1/CDC42EP3/RGCC/FAM107A/GPM6B/MTSS1/STC1/PDPN/PKP2/SERPINF2",16
"GO:0035358","BP","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway","4/238","15/18870",3.01952760402684e-05,0.00768151473822699,0.00652614530938102,"ALOX15B/CITED2/LEP/LMO3",4
"GO:0003208","BP","GO:0003208","cardiac ventricle morphogenesis","7/238","71/18870",3.11226833107932e-05,0.00768151473822699,0.00652614530938102,"TGFBR2/COL11A1/DLL4/NOG/TNNT2/PKP2/CHD7",7
"GO:0003007","BP","GO:0003007","heart morphogenesis","13/238","264/18870",3.24706606477791e-05,0.00768151473822699,0.00652614530938102,"ADAMTS1/TGFBR2/CITED2/CCN1/ADAMTS5/COL11A1/TMEM100/DLL4/ANKRD1/NOG/TNNT2/PKP2/CHD7",13
"GO:0003231","BP","GO:0003231","cardiac ventricle development","9/238","127/18870",3.38392719745682e-05,0.00768151473822699,0.00652614530938102,"TGFBR2/CITED2/CCN1/COL11A1/DLL4/NOG/TNNT2/PKP2/CHD7",9
"GO:0010273","BP","GO:0010273","detoxification of copper ion","4/238","16/18870",3.98625431714316e-05,0.00791769763742561,0.00672680416017909,"MT2A/MT1E/MT1X/MT1M",4
"GO:1990169","BP","GO:1990169","stress response to copper ion","4/238","16/18870",3.98625431714316e-05,0.00791769763742561,0.00672680416017909,"MT2A/MT1E/MT1X/MT1M",4
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","15/238","356/18870",4.93817222844431e-05,0.00911702679948849,0.00774574334758305,"MYADM/THBS1/RAC3/STON1/NID1/NEDD9/PIK3R1/CCN1/SORBS1/ITGA10/FAM107A/EDA/GPM6B/PDPN/PKP2",15
"GO:0046323","BP","GO:0046323","glucose import","7/238","77/18870",5.27869352824849e-05,0.00911702679948849,0.00774574334758305,"KLF15/IRS2/SORT1/PRKAG2/PIK3R1/LEP/SORBS1",7
"GO:0003205","BP","GO:0003205","cardiac chamber development","10/238","168/18870",5.56532778637687e-05,0.00911702679948849,0.00774574334758305,"ADAMTS1/TGFBR2/CITED2/CCN1/COL11A1/DLL4/NOG/TNNT2/PKP2/CHD7",10
"GO:0010827","BP","GO:0010827","regulation of glucose transmembrane transport","7/238","78/18870",5.73758766487633e-05,0.00911702679948849,0.00774574334758305,"KLF15/IRS2/NR4A3/PRKAG2/PIK3R1/LEP/SORBS1",7
"GO:0045444","BP","GO:0045444","fat cell differentiation","12/238","248/18870",7.72446375726256e-05,0.0112480414256654,0.00955623406208196,"ZBTB16/CEBPD/FOXO1/SORT1/NR4A3/KLF5/STEAP4/INHBB/LEP/FRZB/FABP4/LMO3",12
"GO:0016055","BP","GO:0016055","Wnt signaling pathway","17/238","459/18870",7.78656108762234e-05,0.0112480414256654,0.00955623406208196,"KLF15/FZD8/FOXO1/NKD1/RAC3/DAAM2/FZD5/NID1/GPRC5B/EDA/FRZB/PLCG2/APCDD1/NKD2/NOG/LGR5/IGFBP2",17
"GO:0198738","BP","GO:0198738","cell-cell signaling by wnt","17/238","461/18870",8.20980868154735e-05,0.0113438139086772,0.00963760149572949,"KLF15/FZD8/FOXO1/NKD1/RAC3/DAAM2/FZD5/NID1/GPRC5B/EDA/FRZB/PLCG2/APCDD1/NKD2/NOG/LGR5/IGFBP2",17
"GO:0003229","BP","GO:0003229","ventricular cardiac muscle tissue development","6/238","58/18870",8.84263973982556e-05,0.011709128788819,0.00994796970730375,"COL11A1/DLL4/NOG/TNNT2/PKP2/CHD7",6
"GO:0046324","BP","GO:0046324","regulation of glucose import","6/238","60/18870",0.000107103159492744,0.0136149536347177,0.0115671412252164,"KLF15/IRS2/PRKAG2/PIK3R1/LEP/SORBS1",6
