"","GSM909136","GSM909137","GSM909138","GSM909139","GSM909140","GSM909141","GSM909142","GSM909143","GSM909144","GSM909145","GSM909146","GSM909147","GSM909148","GSM909149","GSM909150"
"ZZZ3",6.74474766626667,6.6170340828,6.86677831233333,6.31236049306667,7.0768710236,6.76641718493333,6.78922432193333,6.73486841406667,6.8131718484,6.81802695186667,6.9123991038,7.07208159513333,6.26528832686667,6.791171359,6.7390680104
"ZZEF1",4.79247743933333,4.74371647206667,4.8134392648,4.77856724586667,4.7565079902,4.758654534,4.74311283406667,4.74062274406667,4.84405769226667,4.83815810933333,4.76744690273333,4.84664694026667,4.8222074286,4.78137611466667,4.80095141653333
"ZYX",4.73181037273333,5.0199600324,5.07020907686667,5.05219782193333,5.05457404926667,5.0277771672,5.1693764444,5.02502536746667,5.1499698398,5.07669163806667,5.0562201994,5.07930025846667,6.08499586446667,5.10182667213333,5.09487443206667
"ZYG11B",9.036217906,8.70378278293333,8.34718348766667,8.81687227293333,8.4764330254,8.72014588153333,8.59514370506667,8.64156641573333,8.26466969746667,8.52259295186667,8.32198725706667,8.55340752706667,7.59388642546667,8.3133119532,8.165005848
"ZXDC",3.1858409004,3.15155923026667,3.1165546458,3.16264272973333,3.1819322,3.17070728613333,3.15895511193333,3.14021636933333,3.1972788778,3.342645826,3.1684137602,3.30055928453333,3.41708168986667,3.60417659073333,3.70577821213333
"ZXDB",2.6265088942,2.6474255794,2.5552075304,2.92918017913333,3.16036871466667,2.79884239,2.78439695286667,4.25694349933333,2.80358985973333,2.7483122538,2.7737012158,2.65945942553333,2.67040163333333,3.163369599,2.751440325
"ZXDA /// ZXDB",2.3678400854,2.37935524726667,2.3781043962,2.57483572466667,2.38589069533333,2.40917316553333,2.3872632606,3.3310755638,2.5503712884,2.37482358213333,2.50869046113333,2.35563977446667,2.3946227758,2.3781043962,2.37115149353333
"ZWINT",4.45547689346667,3.8006146858,5.2067705458,4.56445004286667,4.1196240838,3.82471157866667,3.7993403402,4.57868876653333,3.39627693293333,3.8566084926,3.82471157866667,3.2273729238,3.34327711946667,3.95021537833333,3.53438899733333
"ZWILCH",3.63986674006667,3.54570431586667,4.14485478846667,3.75571924066667,3.7561740638,3.65437897673333,4.048506977,3.61158671586667,3.47323222633333,3.4584179882,3.47718620353333,2.6591339298,3.3310755638,3.42336650933333,3.01103343566667
"ZW10",6.57035201526667,6.2603471552,6.5868444078,5.88719672853333,6.0399579738,6.20078751973333,6.54522923966667,5.70683921793333,6.310595259,5.61758947373333,6.13264427093333,5.6108795652,5.82817671766667,6.1795042908,5.6138241598
"ZUFSP",4.62250286073333,4.6295543876,5.49219613093333,4.43290812566667,4.70787933,4.77448169733333,5.27634798753333,4.60083470846667,4.98544760526667,4.83610738106667,4.35064738193333,3.90953159813333,4.38793069273333,4.82115774846667,4.107728116
"ZSWIM7",4.49313644586667,4.78708305326667,4.8623481648,4.7206981506,4.8675204646,4.59089484066667,4.639617707,4.63897171,5.18610085613333,4.7291216428,4.61141923766667,4.51679095073333,4.8299489736,4.7000189952,4.5576191208
"ZSWIM6",6.58292368706667,6.3459129674,6.78589524673333,6.31382396186667,6.5710714568,6.78081938473333,6.77235547626667,6.46291823106667,7.4375557298,7.25453861446667,7.44361939373333,6.10303794873333,8.85398891126667,7.09387835546667,7.45018544693333
"ZSWIM5",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.3972902276,2.27327344,2.27327344,2.27327344,2.27327344
"ZSWIM3",2.70632924533333,2.700751619,2.69761359893333,2.69841764746667,2.82989376966667,2.70559010313333,2.69966184173333,2.69423040366667,2.70815092653333,2.71475285486667,2.71314841666667,2.66156574273333,2.66764105346667,2.69704469266667,2.69966184173333
"ZSWIM2",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZSWIM1",3.486145341,4.11668237213333,3.4576520372,3.4576520372,3.8334437598,3.34327711946667,3.43630871713333,3.4414462666,3.48921484166667,3.48148819526667,3.45708603426667,3.4836347702,3.2243136554,3.469862426,3.31353661286667
"ZSCAN9",2.72276814226667,2.71785452126667,2.7151088602,2.81001182293333,2.74066253313333,2.72560203146667,2.7182850104,2.72560203146667,2.72929126246667,2.73186707406667,2.65693161413333,2.68050794873333,2.69806555533333,2.71679807426667,2.78046355606667
"ZSCAN5A",2.27327344,2.27327344,2.4088256986,2.27839335073333,2.27327344,2.27327344,2.28146984793333,2.27327344,2.27327344,2.29836147773333,2.27327344,2.37161321673333,2.27327344,2.2734802202,2.27327344
"ZSCAN4",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZSCAN32",2.5584406796,2.63034578526667,2.7487223348,2.5630445406,2.58246236153333,2.56959328493333,2.60820539613333,2.558036936,2.5742140418,2.5714996918,2.57055693626667,2.52929298366667,2.54281239033333,2.58095320346667,2.569879542
"ZSCAN31",4.13045166666667,3.95021537833333,4.07210362053333,4.0254515636,3.7652675816,4.0340463716,4.1190402412,3.9933347042,4.28688347333333,4.49853060026667,4.72530786613333,3.92639955713333,4.0088782042,3.82925437953333,4.06081502313333
"ZSCAN29",5.06198957806667,5.19783639366667,4.50179457333333,4.8901726914,5.00450963906667,5.1878567054,5.2756662106,5.05331047626667,4.67911672566667,5.3919974014,5.18944561446667,5.27829960753333,4.82864910626667,5.11376022786667,5.62490798126667
"ZSCAN26",5.53734392293333,4.85676976926667,4.92440734526667,5.0449719224,5.10364937893333,5.16776710473333,5.33903008833333,4.8327198192,4.92583764813333,5.31888600873333,4.8749198874,4.86625407473333,4.3990446078,4.9038126676,4.8502645628
"ZSCAN25",2.27359372866667,2.27465289673333,2.3018509612,2.27453756406667,2.274938564,2.28288437866667,2.27489866926667,2.2747787872,2.27506497866667,2.27462087433333,2.27521629573333,2.277681637,2.27417920546667,2.27545626546667,2.2743696334
"ZSCAN23",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZSCAN22",2.83487880993333,2.81269410873333,2.82162418466667,2.8639354672,2.9818651696,2.83546868993333,2.83112193666667,2.80707950313333,2.7479349738,2.84980957446667,3.06973773126667,2.77819494246667,2.7901853112,2.81916623653333,2.8255120884
"ZSCAN21",5.57777851366667,5.67334775393333,5.46355271033333,5.50161709366667,5.56671387373333,5.8324946818,5.4776467144,5.260234507,5.01728009993333,4.94311062213333,4.59340978933333,5.52218938446667,5.4189766252,5.47203429406667,5.66591347213333
"ZSCAN20",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2754238864,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27352974833333
"ZSCAN2",2.91739995093333,2.77667240846667,2.79849649626667,2.78046355606667,2.859255666,2.7901853112,2.78046355606667,2.7684826004,2.7973718026,2.79235599966667,2.68796744206667,2.73645948613333,2.744851013,2.77756506913333,2.781949917
"ZSCAN18",4.76826797546667,5.70917831193333,5.0141952548,5.32191133386667,5.15751231126667,5.95713851173333,5.59860499886667,5.38639883713333,4.41246851893333,5.2076142272,4.77813731573333,6.16707435486667,5.95788914133333,5.867548089,5.70603413333333
"ZSCAN16-AS1",5.9509883162,6.26528832686667,5.9231804722,6.00572701113333,5.4585168284,6.32593902406667,5.70917831193333,5.85111904166667,5.7003557388,6.15294298586667,5.87908441353333,6.67798265506667,5.97237712586667,6.6464682976,5.71972029893333
"ZSCAN16",4.18931531713333,4.1422480882,4.18404974226667,4.1711002748,5.03685151626667,4.76055882193333,4.48002046846667,4.14838860826667,4.08378661553333,3.9640645462,4.19116263646667,4.13829831553333,3.9133174748,3.88021878713333,4.04531864273333
"ZSCAN12P1",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZSCAN12",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZSCAN10",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZSCAN1",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZRSR2",3.9671030546,4.3498611386,3.9447801084,3.9319040078,3.96919440673333,3.95114686066667,4.0217942414,3.92599190406667,3.9239053558,3.98035646073333,3.9598982882,3.911910749,3.85970368306667,3.94651985653333,4.24382132926667
"ZRANB3",4.9367569358,3.103959007,4.72621894526667,4.43405746886667,2.87268400746667,3.486145341,3.81179877353333,4.20322891126667,3.28599892926667,3.14425808073333,2.99887538046667,2.92083545653333,2.9470777602,3.75227070086667,2.97228184273333
"ZRANB2-AS1",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZRANB2",7.75488750926667,7.48169880393333,7.85701205153333,7.56782600746667,8.05178883766667,7.43829521606667,7.58105242046667,7.663738994,7.78230520426667,7.79470855606667,7.49960188973333,7.80198244613333,7.3047597932,7.91846962526667,7.75488750926667
"ZRANB1",6.6104307182,6.16614881846667,6.11609260646667,6.549056894,6.400005902,6.61548947813333,6.28765198266667,6.78364643866667,6.43404503886667,6.94842339486667,6.791171359,6.6481407216,7.12314743793333,6.86195187526667,6.47017533606667
"ZPR1",5.62654857146667,4.7418829366,4.60083470846667,5.21694027146667,5.28123741773333,5.086661125,5.97539854313333,6.106925402,4.93253800286667,5.4905003948,4.59089484066667,5.53145971093333,5.1483723728,5.82321963733333,5.27010287093333
"ZPLD1",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZPBP2",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.28491580113333,2.27691044766667,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZPBP",2.3458959202,2.27742138066667,2.27657675566667,2.27740275133333,2.50911135266667,2.27781042553333,2.27730576673333,2.27753785546667,2.36554481446667,2.27844662086667,2.27882380133333,2.27484360553333,2.27657675566667,2.2786356152,2.2771691336
"ZP4",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZP2",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZP1",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZNRF4",2.32831725206667,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.30396791353333
"ZNRF3",6.3459129674,6.66201557746667,6.30775960413333,5.78841685353333,6.19237495333333,6.77235547626667,6.4370547948,6.98491755146667,6.4547781046,7.46721364346667,7.93291930026667,7.44721156113333,7.25453861446667,6.9611857316,7.12511116133333
"ZNRF2",6.62607117506667,6.92300073033333,6.71528986626667,6.90927324073333,6.6127199716,6.7224136232,6.75553160966667,6.60014616773333,6.75877970846667,7.02741261893333,6.84993323453333,6.80248460906667,6.8310887962,6.76485329046667,6.862722791
"ZNRF1",3.70795175766667,3.64923205786667,3.6741347652,3.6854564462,3.70298137153333,3.93925701606667,3.63796481386667,3.6690516142,3.7092390648,3.71040958153333,3.6818126764,3.89700453673333,3.59624255273333,3.6825766488,3.6731815056
"ZNRD1",5.81594732626667,6.01721322486667,6.3860909472,6.0300188092,6.3499309298,5.98943911173333,5.6983894312,5.94324575813333,5.8308525512,5.84030581073333,6.18072538213333,6.38398650993333,6.0303802688,5.5243820014,6.0717886344
"ZNHIT6",4.79585005846667,5.03952691526667,5.0382874612,4.61257834586667,5.32510033833333,5.0105681816,5.12003879073333,4.9932196658,5.19369980066667,4.83500097726667,4.94249708853333,5.03886302966667,5.0141952548,5.353228771,5.04179809946667
"ZNHIT3",7.6885632716,7.57684922986667,7.9072711626,7.35939059693333,7.90816381493333,7.8554458938,7.27170403553333,7.48598860113333,7.2130301086,6.84494181306667,7.15696583613333,7.1719116622,7.15622735306667,7.3901080838,7.2997230232
"ZNHIT2",2.2882630568,2.29416341626667,2.32844041853333,2.29402198206667,2.29592093173333,2.29339477433333,2.2931921712,2.29335709486667,2.29231818513333,2.2923855766,2.2965138294,2.28621934633333,2.2913406436,2.29645625813333,2.293322069
"ZNHIT1",9.60981494293333,9.53639689033333,9.67277469793333,9.42163033233333,9.35278856226667,9.2696935474,9.1514708946,9.39465387293333,9.54668094806667,9.5618349724,9.3746236824,9.364412807,9.13148729186667,9.47768894666667,9.84908948446667
"ZNFX1",5.78649861893333,6.39139490613333,5.9595643622,5.76535035253333,6.52842542206667,6.18008104066667,6.1374801624,5.93634748013333,5.14533612586667,5.51181996066667,6.5154681108,5.92056004213333,6.2881029412,5.60222908726667,5.86665897486667
"ZNF93",2.27327344,2.27327344,2.29655004133333,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2735575884,2.27327344
"ZNF92",2.36990451633333,2.29445941246667,2.51044918913333,2.29452354006667,2.3229710842,2.32037849913333,2.38426977886667,2.293881746,2.2927926406,2.29288975433333,2.296933747,2.28644409966667,2.29168592893333,2.296933747,2.2937423906
"ZNF91",5.94324575813333,6.42602155586667,6.4592486198,6.48100125233333,6.4451865428,6.41200781046667,6.30775960413333,6.36197573853333,6.75682529286667,6.476269416,6.45644705746667,6.95321533113333,6.5058768372,6.63662468,6.64202051613333
"ZNF90",2.27829680186667,2.31680248426667,2.330951725,2.28136908126667,2.29994175433333,2.28150967206667,2.28102725626667,2.657824659,2.28081750466667,2.28068669306667,2.28288437866667,2.27726049633333,2.27985859386667,2.58201412446667,2.27327344
